UUID,Soubory,Typ,Původní/jiné označení -  Archivní jednotka,Původní/jiné označení -  Inventární číslo,Původní/jiné označení -  Bod schůze,Původní/jiné označení -  Signatura,Ukládací jednotka - typ,Ukládací jednotka - hodnota,Obsah
708639584ad841678808ec41e78e1a18,,série,,,,,,,Spisy
191348132b384901bb568dc880c5a951,,série,,,,,,,Rok 1954
9c1ad048bc154a6f8f556303d0adddde,,série,,,,,,,Schůze Politického byra  ÚV KSČ dne 21. června 1954
bc5476e0dc9a4fceb5614a1e37ad4f22,,série,,,,,,,Program
c850fe2503874f13b0809bd7767af8b3,,složka,1,,0,,svazek,1,Zápis
03f1ab2fe71e4394b141efbb432d15ed,,složka,1,,1,,svazek,1,Zpráva o pomoci ČSR při obnově národní hospodářství KLDR
6a66cd5c9c4648b9aaa6d6e1d7fe4e2a,,složka,1,,2,,svazek,1,Podpis protokolu o výměně zboží na rok 1954 s MLR
bf67249f014448f395fb945ff3beedb1,,složka,1,,3,,svazek,1,Zpráva československé delegace o průběhu a současném stavu obchodně politických a finančních jednání československo-britských
cf256b324e7d4c77b5a8069c38dd8dca,,složka,1,,4,,svazek,1,Povolení vývozu nákladních automobilů Tatra 111 do kapitalistických států
b96d5ea9036a47d98d662aa1e0b14bcb,,složka,1,,5,,svazek,1,Zpráva o dosavadním průběhu a stavu zajišťování strojní zařízení a investicí celků do kapitalistických států
82f69ab2180c4d979399054d53099d8d,,složka,1,,6,,svazek,1,"Zpráva o návrhu předběžných požadavků na dovoz zbrojního materiálu, výrobků vojenské techniky a vojenské literatury na rok 1955"
f92e53e5b7ea46d49a4cf8148b8abf4c,,složka,1,,7,,svazek,1,Zpráva o plnění plánu materiálního zabezpečení ozbrojených sil ČSR v květnu a od počátku rok 1954
e2f9cb876fa24d45b6cf00fc4f1a46b1,,složka,1,,8,,svazek,1,Statut organizace a systematizace pracovních míst vojensko-hospodářské správy Státního úřadu plánovacího
85ed9fd0aec445a787382f2919d8606f,,složka,1,,9,,svazek,1,Plán průzkumných a projektových prací na rok 1954
7ef99c4b2d6e47bfa6c9c40e2d347d77,,složka,1,,10,,svazek,1,"Zpráva o provedení přípravy jednání mezi ČSR, MLR a PLR v oblasti slaboproudého průmyslu a výroby a vývoje strojů pro výrobu munice a návrh na další postup"
e92c95c738a6426b8f8e8a25ec0f0a6c,,složka,1,,11,,svazek,1,Zajištění výroby osobních automobilů
4ded3196cdc744c1b6bc06e11916e8e6,,složka,1,,12,,svazek,1,Zpráva o příčinách neplnění dodávek strojů a zařízení pro uhelný průmysl a geologický průzkum
e05ccbd8a80d4815b773cf04f6603dcb,,složka,1,,13,,svazek,1,Zpráva o situaci ve výrobě náhradních dílů pro traktory a zemědělské stroje v závodech Ministerstva strojírenství
a1dcccdd20024e4fbe717aa4f55a916e,,složka,1,,14,,svazek,1,"Návrh na provolání Ústředního výboru KSČ a vlády ČSR ke žním, výkupu a podzimním pracím"
517c13a6a98d49bb940465ee6edf450f,,složka,1,,15,,svazek,1,Zpráva o zasedání Ústředního výboru Mezinárodního družstevního svazu ve Florencii a návrh na svolání konfederace Ústřední rady družstev k projednání jeho výsledků
490c639320a24ec5b2a7617b6616b59b,,složka,1,,16,,svazek,1,Návrh na změnu plánu investiční výstavby Ministerstva strojírenství na rok 1954 - speciální část
5e860bf81fac473fa1cca6085b3904e8,,složka,1,,17,,svazek,1,"Restrikce leteckých opraven v rámci Ministerstva národní obrany "
e050ebaa70a94f0f849612a0732092f0,,složka,1,,18,,svazek,1,Návrh na změnu plánu státního vývojového úkolu automatizace ústředního zaměřovače
15d18defff2c4062a6acb9f133713f7d,,složka,1,,19,,svazek,1,Návrh na zavedení výroby doplňujících civilních programů
c707d077f179420fb4b18a20ee61506a,,složka,1,,20,,svazek,1,Návrh Ministra strojírenství na změnu vládního usnesení ze dne 31. 3. 1953.
c7e537b7b8d84c5bb9319a56332c055b,,složka,1,,21,,svazek,1,"Zpráva o stavu marmelád, jamů a kompotů"
5768574ef4da4b05a404bdd2e6ee7281,,složka,1,,22,,svazek,1,Zpráva o příjmech z ciziny o vydáních do ciziny z titulu autorských honorářů
759d53759e2345008407df8d5f25cf54,,složka,1,,23,,svazek,1,Usnesení Ústředního výboru  KSČ o Roce stranického školení 1954-1955
6c7a3abe6a2f4458a7508d52088ba476,,složka,1,,24,,svazek,1,Směrnice o spolupráci Ministerstva vnitra s Ministerstvem národní obrany při materiálně technickém zabezpečení systému civilní obrany
9cbb4d98cf514f1eb07e02ce8257c971,,složka,1,,25,,svazek,1,Doplnění armády zemními a silničními stroji z Národního hospodářství v mobilizaci
2710f85ac5414001beccb92355802651,,složka,1,,26,,svazek,1,Návrh na prodloužení lhůt k předložení úvodního projektu na výstavbu armádního tělovýchovného střediska na Strahově
fd981c757ccd4af1b59a130f58d6f62c,,složka,1,,27,,svazek,1,Podávání trestních oznámení na vojáky v činné službě
2d663471a67846ca90e6d6851d594111,,složka,1,,28,,svazek,1,Zpráva o povolování odkladů z důvodů veřejného zájmu
bf7d023c09d747a78f0edb7206e59ee6,,složka,1,,29,,svazek,1,Návrh na vyslání důstojníků československé armády na studia do škol v SSSR v roce 1954
f9de30801c2645ba89814d89392ae871,,složka,1,,30,,svazek,1,Návrh na zřízení správy Vnitřní stráže Ministerstva vnitra
97c5e53d8ed54c9591e981bfbadb0380,,složka,1,,31,,svazek,1,Návrh vládního nařízení o úpravě některých poměrů členů národních výborů
43d1f89f093443748d64ed24c4bea606,,složka,1,,32,,svazek,1,"Návrh vládního usnesení o odměnách předsedů, jejich náměstků a tajemníků Národního výboru, jakož i předsedů plánovacích komisí a jejich náměstků"
5b90c8860e99498eaa43dc30c5e15927,,složka,1,,33,,svazek,1,Zpráva o činnosti II. zvláštního odboru Ministerstva vnitra
d464db949da242df88349e94b1064618,,složka,1,,34,,svazek,1,Zpráva o soudním případu proti Vladimírovi Haškovcovi
bdfb0019dbae42ac9045b85436e8c565,,složka,1,,35,,svazek,1,Návrh žaloby na Dr. Josefa Goldmanna a spol.
65d5847895574c23a1eb9d0144b96b19,,složka,1,,36,,svazek,1,Zpráva o soudním případu proti Janu Cwirzovi
2f01bfade57b4b1698b3701b811e0d7c,,složka,1,,37,,svazek,1,Zpráva o soudním případu proti Antonínu Kandráčovi a spol.
407dc729fc1b407cb1be253c6c67d70c,,složka,1,,38,,svazek,1,"Zpráva o soudním případu proti Rudolfu Bulandrovi, Šimonu Drgačovi a Vladimíru Drncovi"
